"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Adams, OH","27,510","7.1%","$176,217","24.7%","51"
"Adams, PA","106,748","4.6%","$324,760","21.1%","35"
"Adams, IN","35,995","7.3%","$236,797","27.5%","26"
"Allen, OH","100,838","4.3%","$174,696","20.4%","26"
"Allen, KY","21,029","6.1%","$203,369","15.5%","53"
"Spencer, IN","19,871","3.8%","$224,481","34.5%","52"
"Spencer, KY","19,875","4.3%","$354,903","36.3%","45"
"Trimble, KY","8,531","12.6%","$225,487","42.1%","34"
"Grant, KY","25,238","7.1%","$254,938","35.8%","30"
"Grant, WV","10,972","4.1%","$175,913","14.2%","146"
"Grant, IN","66,200","7.8%","$146,179","26.8%","37"
"Cass, IN","37,703","7.7%","$164,917","32.3%","44"
"Letcher, KY","21,146","-0.9%","$88,657","28.5%","56"
"Knott, KY","14,046","6.8%","$120,802","0.0%","99"
"Hamblen, TN","66,216","4.4%","$261,755","36.0%","47"
"Stephens, GA","26,842","3.6%","$228,520","28.4%","58"
"Habersham, GA","46,948","2.8%","$312,576","28.5%","48"
"Laurel, KY","62,731","8.4%","$184,428","25.3%","59"
"Fannin, GA","25,605","0.4%","$503,497","21.1%","61"
"Bledsoe, TN","14,905","3.9%","$225,422","34.2%","56"
"Sequatchie, TN","16,409","4.1%","$277,045","31.7%","62"
"Larue, KY","15,028","10.5%","$229,030","29.6%","35"
"Coffee, GA","43,161","2.3%","$150,688","22.2%","71"
"Coffee, AL","54,231","3.0%","$179,072","27.3%","46"
"Coffee, TN","58,940","3.5%","$304,150","28.7%","65"
"Cannon, TN","14,661","5.2%","$310,683","29.4%","46"
"Breckinridge, KY","20,722","6.4%","$163,252","23.2%","52"
"Bedford, VA","81,525","3.1%","$337,701","23.5%","43"
"Bedford, PA","47,503","4.9%","$201,989","33.6%","71"
"Bedford, TN","51,291","2.7%","$329,788","22.1%","80"
"Anderson, KY","24,098","11.1%","$255,330","26.3%","52"
"Anderson, TN","80,234","4.3%","$300,067","32.7%","46"
"Anderson, SC","213,076","2.2%","$282,971","29.2%","45"
"Wilkes, NC","66,013","4.4%","$203,939","21.5%","44"
"Wilkes, GA","9,553","-2.0%","$155,350","9.7%","61"
"Cook, GA","17,363","-2.6%","$143,138","36.3%","56"
"Colquitt, GA","45,907","2.5%","$142,898","21.0%","44"
"Fulton, PA","14,545","-0.6%","$226,826","14.8%","24"
"Fulton, KY","6,440","5.7%","$84,619","23.5%","71"
"Fulton, GA","1,079,105","-2.5%","$435,769","29.2%","51"
"Miller, GA","5,873","9.0%","$147,385","0.0%","39"
"Floyd, IN","80,809","3.1%","$280,774","26.6%","44"
"Floyd, KY","35,342","4.3%","$96,071","16.4%","79"
"Floyd, VA","15,560","-0.2%","$249,557","17.0%","52"
"Floyd, GA","100,113","2.2%","$231,131","23.3%","61"
"Randolph, NC","147,458","4.1%","$238,456","22.3%","37"
"Randolph, GA","6,270","-4.3%","$86,751","0.0%","66"
"Randolph, WV","27,782","4.7%","$151,448","17.2%","56"
"Randolph, IN","24,425","6.5%","$139,629","28.5%","45"
"Randolph, AL","22,310","7.4%","$193,874","29.0%","59"
"Bullock, AL","10,157","0.1%","$120,721","30.7%","68"
"Geneva, AL","26,726","-1.5%","$157,832","39.5%","74"
"Pike, KY","57,466","4.8%","$111,883","18.5%","82"
"Pike, OH","27,080","0.8%","$169,041","22.5%","55"
"Pike, GA","19,540","0.8%","$372,541","14.8%","70"
"Pike, IN","12,187","3.4%","$163,271","25.8%","62"
"Pike, AL","32,953","0.9%","$166,142","17.9%","74"
"Talladega, AL","81,132","5.4%","$180,496","19.7%","65"
"Butler, OH","393,043","4.4%","$304,393","17.9%","31"
"Butler, KY","12,373","7.7%","$191,928","16.0%","37"
"Butler, AL","18,807","2.9%","$116,475","9.0%","74"
"Thomas, GA","45,696","1.6%","$210,671","16.5%","59"
"Okaloosa, FL","218,464","-3.1%","$358,286","27.7%","74"
"Daviess, KY","103,458","4.9%","$208,697","25.3%","51"
"Daviess, IN","33,442","3.1%","$224,641","27.2%","52"
"Fountain, IN","16,546","5.2%","$182,795","22.6%","38"
"Edgar, IL","16,637","-1.2%","$102,681","23.5%","38"
"Jasper, SC","30,658","-0.4%","$428,975","30.6%","71"
"Jasper, MS","16,211","-1.6%","$129,729","21.6%","114"
"Jasper, GA","15,345","1.5%","$314,440","24.0%","40"
"Jasper, IL","9,233","0.9%","$168,058","42.1%","37"
"De Witt, IL","15,461","7.6%","$139,835","12.9%","41"
"Tazewell, VA","39,933","2.0%","$134,505","14.1%","67"
"Tazewell, IL","129,541","7.9%","$172,499","17.9%","33"
"Mason, WV","25,214","8.4%","$148,509","10.0%","53"
"Mason, KY","16,995","12.5%","$166,425","17.3%","63"
"Knox, IN","36,108","5.6%","$151,215","18.6%","56"
"Knox, OH","62,888","5.0%","$272,049","33.8%","40"
"Knox, KY","30,034","10.5%","$159,843","38.3%","55"
"Knox, TN","500,669","1.5%","$368,569","27.5%","43"
"Ohio, WV","41,904","4.6%","$148,293","18.0%","53"
"Ohio, IN","5,993","6.2%","$281,959","36.3%","50"
"Ohio, KY","23,704","11.1%","$161,875","34.0%","68"
"McNairy, TN","25,933","0.3%","$158,753","20.8%","51"
"Alcorn, MS","34,500","5.9%","$163,311","20.2%","85"
"Shelby, KY","48,599","5.4%","$316,217","17.3%","40"
"Shelby, AL","233,000","0.2%","$355,392","19.8%","49"
"Shelby, IN","45,104","4.5%","$240,615","32.2%","45"
"Shelby, OH","48,007","7.6%","$227,602","27.4%","46"
"Shelby, IL","20,867","6.0%","$155,269","22.2%","66"
"DeSoto, FL","34,719","-3.7%","$250,654","20.7%","83"
"Perry, PA","45,988","0.7%","$285,340","16.9%","30"
"Perry, IN","19,218","7.8%","$182,037","28.5%","53"
"Perry, KY","27,847","16.3%","$114,719","8.6%","51"
"Perry, MS","11,459","-2.5%","$141,970","22.2%","60"
"Perry, IL","20,810","-4.3%","$112,653","16.6%","54"
"Perry, TN","8,561","0.0%","$169,587","18.1%","87"
"Perry, OH","35,474","4.8%","$215,259","26.1%","40"
"Perry, AL","8,231","0.6%","$133,789","0.0%","66"
"Clarke, VA","15,060","4.5%","$554,968","30.7%","25"
"Clarke, GA","129,933","2.3%","$329,603","24.0%","51"
"Clarke, MS","15,424","-4.7%","$105,980","22.2%","82"
"Clarke, AL","22,802","-6.0%","$137,934","9.8%","91"
"Chickasaw, MS","16,994","5.9%","$140,062","0.0%","36"
"Holmes, OH","44,312","6.4%","$353,497","13.3%","37"
"Holmes, FL","19,626","0.1%","$194,004","19.3%","78"
"George, MS","24,870","6.9%","$209,564","16.1%","56"
"Monmouth, NJ","642,799","5.0%","$737,678","11.7%","39"
"Middlesex, VA","10,774","5.0%","$382,187","12.7%","55"
"Middlesex, NJ","863,623","8.0%","$574,264","11.2%","26"
"Somerset, PA","72,197","0.6%","$166,273","16.8%","57"
"Somerset, MD","24,685","1.6%","$197,889","19.1%","59"
"Somerset, NJ","348,842","5.4%","$660,639","9.6%","24"
"Philadelphia, PA","1,550,542","3.3%","$231,567","24.5%","49"
"Columbia, FL","73,063","1.0%","$266,290","29.1%","67"
"Columbia, GA","165,162","0.9%","$327,091","16.2%","48"
"Prince William, VA","489,640","4.4%","$593,397","22.6%","16"
"Blair, PA","120,273","4.7%","$171,476","45.4%","50"
"Accomack, VA","33,326","2.7%","$245,734","14.4%","74"
"Virginia Beach, VA","453,649","2.5%","$415,732","29.2%","29"
"Chesapeake, VA","253,886","3.9%","$413,685","25.7%","31"
"Isle of Wight, VA","39,444","0.7%","$367,063","24.2%","44"
"Martin, FL","163,315","-3.5%","$458,596","28.0%","79"
"Martin, IN","9,854","6.0%","$200,030","12.1%","82"
"Martin, KY","11,181","17.4%","$122,025","0.0%","57"
"Martin, NC","21,773","-3.9%","$118,263","12.6%","57"
"Amelia, VA","13,342","9.4%","$319,707","16.3%","43"
"Nottoway, VA","15,597","8.0%","$183,292","21.0%","57"
"Page, VA","23,750","4.4%","$284,102","25.8%","39"
"Allegany, MD","67,273","4.5%","$145,858","18.7%","54"
"Greene, IN","30,954","8.6%","$191,824","18.3%","73"
"Greene, NC","20,421","0.9%","$178,552","10.2%","104"
"Greene, OH","169,691","4.2%","$293,897","23.3%","32"
"Greene, AL","7,589","-5.0%","$120,510","0.0%","131"
"Greene, GA","19,586","4.1%","$623,578","21.7%","69"
"Greene, VA","20,850","4.7%","$369,195","10.4%","25"
"Greene, TN","72,577","3.8%","$246,459","32.6%","59"
"Greene, MS","13,595","4.9%","$146,255","0.0%","57"
"Greene, PA","35,265","-0.3%","$139,556","14.4%","60"
"Nicholas, KY","7,655","13.9%","$173,082","25.8%","116"
"Nicholas, WV","24,446","3.3%","$138,926","28.0%","42"
"Belmont, OH","64,918","2.9%","$128,361","30.1%","52"
"Pleasants, WV","7,572","8.1%","$164,749","17.3%","37"
"Noble, OH","14,252","3.7%","$174,849","11.4%","61"
"Coshocton, OH","36,679","3.5%","$168,950","33.3%","38"
"Athens, OH","61,573","5.1%","$176,111","23.7%","44"
"Gallia, OH","29,162","2.6%","$151,899","17.3%","53"
"Hocking, OH","27,938","-0.6%","$264,170","30.3%","43"
"Licking, OH","183,201","2.0%","$332,398","30.4%","40"
"Vinton, OH","12,686","2.3%","$168,158","27.2%","54"
"Person, NC","39,275","-0.5%","$236,788","20.3%","33"
"Hoke, NC","53,102","2.8%","$278,271","18.3%","54"
"Caswell, NC","22,689","-1.8%","$195,378","21.0%","54"
"Montgomery, PA","868,742","2.5%","$482,753","14.5%","25"
"Montgomery, AL","224,980","0.1%","$159,127","17.8%","58"
"Montgomery, KY","28,271","4.6%","$212,419","18.1%","48"
"Montgomery, OH","533,796","4.9%","$194,608","27.4%","35"
"Montgomery, IL","28,078","3.9%","$122,486","17.1%","45"
"Montgomery, TN","239,872","0.6%","$326,564","22.5%","53"
"Montgomery, MD","1,058,474","3.2%","$639,361","23.0%","23"
"Montgomery, IN","38,155","7.0%","$216,184","34.7%","37"
"Montgomery, GA","8,675","-1.7%","$168,579","20.0%","51"
"Montgomery, MS","9,708","6.1%","$120,405","10.8%","94"
"Montgomery, VA","98,666","2.7%","$338,672","17.0%","43"
"Montgomery, NC","25,874","1.0%","$177,861","22.2%","52"
"Salem, NJ","65,338","3.8%","$286,117","19.1%","45"
"Salem, VA","25,477","4.0%","$279,564","28.8%","44"
"Stanly, NC","65,699","3.9%","$294,436","31.9%","50"
"Davie, NC","43,526","1.5%","$305,522","25.8%","46"
"Grayson, KY","26,586","11.3%","$199,955","25.3%","64"
"Grayson, VA","15,323","2.4%","$186,020","32.4%","53"
"Chester, PA","549,784","3.9%","$564,179","18.1%","25"
"Chester, TN","17,452","0.3%","$164,616","14.2%","54"
"Chester, SC","32,177","0.0%","$214,799","24.0%","42"
"Burke, GA","24,427","-0.5%","$151,206","17.0%","85"
"Burke, NC","88,338","1.4%","$244,774","24.7%","57"
"Washington, AL","15,270","5.8%","$158,754","13.3%","76"
"Washington, FL","25,259","2.4%","$216,689","33.6%","74"
"Washington, PA","210,232","1.2%","$231,625","21.6%","52"
"Washington, GA","19,893","-6.4%","$124,270","9.7%","43"
"Washington, TN","138,420","1.7%","$302,132","30.7%","46"
"Washington, MD","155,813","4.0%","$328,509","19.6%","36"
"Washington, NC","10,905","1.2%","$108,852","24.2%","111"
"Washington, IN","28,167","5.1%","$219,596","30.4%","47"
"Washington, KY","12,091","10.2%","$245,220","21.0%","75"
"Washington, IL","13,682","4.7%","$156,390","0.0%","57"
"Washington, OH","59,318","4.2%","$176,174","20.3%","53"
"Washington, VA","53,913","3.8%","$260,745","24.4%","58"
"Dickenson, VA","13,920","7.5%","$100,112","14.8%","91"
"Williamsburg, VA","15,564","2.3%","$403,494","0.0%","9"
"Williamsburg, SC","30,517","11.2%","$130,214","15.6%","105"
"Berkeley, WV","132,440","4.2%","$311,289","17.3%","32"
"Berkeley, SC","255,217","0.7%","$373,687","34.6%","44"
"Kershaw, SC","69,905","1.2%","$242,492","26.1%","50"
"Calhoun, AL","116,429","2.4%","$163,003","24.3%","59"
"Calhoun, FL","13,593","-2.4%","$164,330","19.5%","68"
"Calhoun, WV","6,158","-2.2%","$85,570","23.5%","101"
"Calhoun, MS","13,029","-0.0%","$119,854","20.5%","84"
"Calhoun, GA","5,528","-7.4%","$83,266","0.0%","48"
"Calhoun, SC","14,150","-1.3%","$189,004","19.5%","71"
"Lexington, SC","309,528","2.5%","$269,333","27.1%","38"
"Allendale, SC","7,738","-2.2%","$66,608","28.5%","99"
"Aiken, SC","177,130","1.7%","$224,466","21.4%","53"
"Richmond, VA","9,047","3.5%","$234,720","8.1%","71"
"Richmond, NY","490,687","3.5%","$704,971","13.8%","45"
"Richmond, NC","42,818","-1.2%","$128,219","24.7%","61"
"Richmond, VA","229,247","2.5%","$366,557","21.1%","32"
"Richmond, GA","205,414","0.0%","$183,864","24.8%","55"
"Toombs, GA","26,943","2.4%","$164,851","15.0%","67"
"Abbeville, SC","24,352","0.3%","$202,703","27.0%","49"
"Polk, NC","19,689","3.3%","$303,846","23.6%","60"
"Polk, TN","17,702","4.8%","$239,729","27.1%","68"
"Polk, GA","43,365","1.1%","$218,054","28.2%","43"
"Polk, FL","818,330","-3.0%","$307,229","28.2%","73"
"St. Johns, FL","320,110","-3.0%","$510,465","34.9%","64"
"Marion, OH","64,851","4.6%","$169,646","24.0%","40"
"Marion, IN","968,460","2.5%","$232,391","34.3%","43"
"Marion, WV","56,042","3.9%","$158,190","23.2%","47"
"Marion, KY","19,680","8.2%","$210,957","24.4%","64"
"Marion, GA","7,474","-0.3%","$154,645","0.0%","57"
"Marion, SC","28,900","4.3%","$108,884","18.3%","67"
"Marion, TN","29,010","2.7%","$244,511","20.6%","62"
"Marion, IL","37,294","-1.0%","$114,574","22.2%","52"
"Marion, AL","29,190","0.8%","$158,118","20.0%","71"
"Marion, FL","409,959","-1.9%","$277,524","31.1%","72"
"Sumter, SC","104,165","1.9%","$194,919","30.2%","54"
"Sumter, GA","29,174","-4.8%","$126,104","8.9%","70"
"Sumter, AL","12,020","-2.6%","$108,191","0.0%","66"
"Sumter, FL","151,565","-1.1%","$397,108","35.6%","63"
"Highlands, FL","107,614","-1.0%","$237,406","21.3%","73"
"Charlotte, VA","11,475","1.1%","$178,102","29.2%","55"
"Charlotte, FL","206,134","-9.6%","$323,061","31.2%","91"
"Delaware, PA","576,720","2.9%","$359,787","15.6%","29"
"Delaware, IN","112,321","7.7%","$161,097","28.3%","44"
"Delaware, OH","231,636","2.4%","$510,247","29.1%","33"
"Highland, VA","2,265","6.4%","$281,285","30.7%","87"
"Highland, OH","43,403","7.0%","$193,382","21.3%","45"
"Champaign, IL","205,644","5.2%","$223,178","18.5%","39"
"Champaign, OH","38,772","4.8%","$237,372","26.9%","40"
"Clermont, OH","211,972","3.6%","$319,067","13.2%","29"
"Kenton, KY","171,321","4.0%","$275,453","26.1%","37"
"Mercer, NJ","381,671","4.5%","$442,630","14.6%","32"
"Mercer, KY","22,824","7.9%","$235,329","31.0%","48"
"Mercer, WV","59,062","5.4%","$139,518","21.3%","45"
"Mercer, OH","42,438","5.3%","$251,952","13.1%","44"
"Ripley, IN","29,039","5.7%","$269,713","39.0%","35"
"Rush, IN","16,734","8.8%","$205,003","46.1%","46"
"Hamilton, TN","379,864","1.5%","$359,650","30.0%","51"
"Hamilton, IL","7,972","-4.7%","$117,692","0.0%","45"
"Hamilton, FL","13,445","2.6%","$198,509","30.1%","72"
"Hamilton, OH","827,058","2.9%","$269,723","17.9%","32"
"Hamilton, IN","371,645","2.4%","$456,396","29.6%","33"
"Brown, OH","43,710","4.5%","$254,113","21.0%","33"
"Brown, IN","15,543","4.5%","$353,212","32.3%","66"
"Orange, VA","37,208","3.0%","$374,824","20.3%","37"
"Orange, FL","1,471,416","-1.6%","$412,099","32.2%","60"
"Orange, NC","150,626","1.3%","$517,036","23.4%","43"
"Orange, IN","19,746","3.6%","$174,540","20.2%","47"
"Pulaski, VA","33,771","0.3%","$207,138","14.5%","41"
"Pulaski, GA","9,893","3.5%","$179,060","14.2%","43"
"Pulaski, IL","5,074","-8.0%","$91,828","0.0%","80"
"Pulaski, KY","66,191","4.4%","$187,291","27.9%","65"
"Jefferson, KY","772,144","5.1%","$256,331","22.4%","34"
"Jefferson, IL","36,808","-0.9%","$131,156","20.8%","50"
"Jefferson, OH","64,855","5.3%","$118,813","27.1%","44"
"Jefferson, GA","15,468","-0.8%","$110,201","30.0%","128"
"Jefferson, FL","14,713","0.6%","$294,179","29.6%","53"
"Jefferson, WV","58,546","5.5%","$393,831","20.1%","36"
"Jefferson, IN","33,074","5.0%","$226,634","22.2%","42"
"Jefferson, AL","662,895","-1.0%","$214,325","24.1%","50"
"Jefferson, TN","55,835","5.0%","$329,823","30.7%","53"
"Campbell, VA","55,398","3.4%","$261,326","19.2%","42"
"Campbell, KY","93,702","2.6%","$272,671","24.8%","34"
"Campbell, TN","39,568","5.0%","$235,171","32.4%","60"
"Dawson, GA","28,704","0.4%","$464,365","25.8%","51"
"Roane, WV","13,921","0.7%","$120,890","8.3%","66"
"Roane, TN","54,403","1.8%","$278,391","25.2%","57"
"McMinn, TN","54,135","2.5%","$247,116","34.2%","68"
"Pickett, TN","5,062","14.6%","$237,482","22.2%","64"
"Clay, AL","14,188","3.7%","$166,953","0.0%","111"
"Clay, KY","20,105","3.3%","$133,982","23.5%","79"
"Clay, IN","26,431","5.2%","$171,333","37.3%","66"
"Clay, IL","13,173","4.9%","$105,440","20.5%","64"
"Clay, MS","18,462","4.2%","$151,229","25.5%","72"
"Clay, GA","2,853","-4.4%","$151,965","19.0%","69"
"Clay, WV","7,946","3.8%","$116,948","0.0%","129"
"Clay, FL","232,439","-1.7%","$342,886","37.1%","58"
"Clay, NC","11,391","3.2%","$352,128","16.7%","62"
"Clay, TN","7,621","8.3%","$204,134","17.3%","74"
"Davidson, NC","174,804","3.2%","$262,076","24.3%","40"
"Davidson, TN","712,334","-0.2%","$447,214","31.8%","53"
"Logan, WV","31,826","6.9%","$94,959","24.2%","70"
"Logan, IL","27,870","3.0%","$132,623","16.4%","43"
"Logan, OH","46,140","6.0%","$246,041","24.8%","45"
"Logan, KY","27,731","6.6%","$214,193","27.4%","49"
"Johnson, TN","18,073","4.8%","$238,207","19.5%","79"
"Johnson, IN","167,819","1.9%","$307,656","27.5%","39"
"Johnson, IL","13,350","6.4%","$192,191","13.1%","60"
"Johnson, KY","22,464","6.8%","$144,131","21.9%","57"
"Johnson, GA","9,192","6.0%","$127,170","14.8%","79"
"Laurens, SC","68,873","-7.3%","$183,978","20.6%","53"
"Laurens, GA","49,619","0.2%","$180,037","19.7%","65"
"Madison, VA","13,931","5.3%","$400,526","11.7%","45"
"Madison, IN","132,504","4.4%","$182,273","30.5%","36"
"Madison, AL","412,600","-0.8%","$311,687","25.7%","57"
"Madison, TN","99,193","1.5%","$228,738","29.8%","61"
"Madison, NC","21,640","3.4%","$389,929","27.9%","72"
"Madison, FL","18,113","2.7%","$206,749","17.6%","79"
"Madison, KY","96,735","7.2%","$275,446","24.5%","52"
"Madison, OH","44,126","2.6%","$307,345","37.9%","29"
"Madison, GA","30,914","4.5%","$320,872","21.0%","46"
"Berrien, GA","18,257","5.5%","$181,708","19.3%","44"
"Franklin, KY","51,563","12.3%","$244,313","23.5%","39"
"Franklin, FL","12,418","-3.3%","$425,910","19.8%","86"
"Franklin, AL","31,978","1.7%","$178,875","17.6%","72"
"Franklin, PA","157,854","2.7%","$277,086","16.8%","36"
"Franklin, TN","43,478","3.9%","$311,757","25.2%","59"
"Franklin, IN","22,929","4.2%","$286,169","26.2%","40"
"Franklin, IL","37,541","-3.0%","$102,404","14.0%","57"
"Franklin, NC","77,001","0.6%","$365,185","27.3%","52"
"Franklin, VA","8,212","6.0%","$221,181","51.2%","47"
"Franklin, VA","54,958","5.7%","$348,102","26.9%","47"
"Franklin, OH","1,326,063","2.1%","$300,830","30.4%","33"
"Franklin, GA","23,840","3.1%","$285,628","36.6%","58"
"Oconee, SC","81,221","4.0%","$282,154","29.6%","52"
"Oconee, GA","42,788","2.3%","$555,775","29.3%","61"
"Tift, GA","41,322","-0.9%","$191,834","27.8%","52"
"Bibb, AL","22,152","2.0%","$214,983","26.0%","50"
"Bibb, GA","156,512","0.3%","$166,248","20.7%","65"
"Newton, MS","21,151","-3.5%","$140,826","20.5%","55"
"Newton, GA","120,135","-2.3%","$299,091","27.6%","51"
"Forsyth, NC","392,921","1.1%","$277,456","23.0%","42"
"Forsyth, GA","272,887","-0.2%","$642,188","37.6%","36"
"Mitchell, NC","14,973","2.2%","$234,966","32.1%","52"
"Mitchell, GA","21,441","1.8%","$142,762","16.6%","78"
"Muscogee, GA","201,877","3.8%","$179,873","21.0%","46"
"Carroll, MD","176,639","2.9%","$494,279","21.7%","19"
"Carroll, OH","26,731","8.0%","$188,491","34.1%","33"
"Carroll, TN","28,461","0.1%","$171,726","25.7%","60"
"Carroll, KY","10,878","8.1%","$188,032","36.3%","48"
"Carroll, VA","29,158","-6.4%","$164,771","19.3%","54"
"Carroll, IN","20,443","6.0%","$224,278","28.5%","40"
"Carroll, GA","127,098","0.0%","$292,209","25.4%","52"
"Lee, FL","834,573","-7.8%","$364,768","27.7%","89"
"Lee, KY","7,375","16.0%","$158,318","12.5%","100"
"Lee, MS","82,799","4.5%","$195,615","21.1%","59"
"Lee, VA","22,042","8.5%","$100,382","21.6%","75"
"Lee, SC","16,330","-0.8%","$122,400","29.6%","44"
"Lee, NC","67,059","1.7%","$287,209","23.5%","49"
"Lee, GA","33,337","2.8%","$257,352","19.3%","71"
"Lee, AL","183,215","3.0%","$334,070","21.4%","47"
"Cherokee, SC","56,299","-0.4%","$180,518","24.2%","47"
"Cherokee, NC","29,197","2.1%","$275,046","27.4%","65"
"Cherokee, GA","286,602","0.1%","$479,019","31.2%","43"
"Cherokee, AL","25,224","5.0%","$226,428","22.3%","73"
"Dale, AL","49,516","0.5%","$154,405","17.3%","51"
"Etowah, AL","103,241","4.7%","$174,000","25.7%","57"
"Autauga, AL","59,285","4.0%","$250,578","14.2%","37"
"Echols, GA","3,705","-0.7%","$161,587","0.0%","177"
"Gilchrist, FL","18,494","1.6%","$290,776","16.4%","66"
"Lafayette, MS","56,920","11.0%","$387,525","13.0%","40"
"Lafayette, FL","8,035","1.4%","$255,474","18.1%","61"
"Dixie, FL","16,952","0.2%","$206,129","16.0%","82"
"Grady, GA","26,056","-1.4%","$169,628","15.3%","68"
"Vermillion, IN","15,452","6.2%","$124,654","14.5%","65"
"Clark, IN","125,467","3.0%","$260,578","20.0%","37"
"Clark, OH","134,610","7.1%","$192,614","23.4%","39"
"Clark, KY","37,004","6.9%","$256,711","24.5%","58"
"Clark, IL","15,328","0.1%","$137,513","37.5%","70"
"Coles, IL","46,689","4.7%","$135,663","28.5%","31"
"Wayne, IN","66,127","8.3%","$162,518","16.6%","43"
"Wayne, MS","19,699","3.2%","$132,437","0.0%","70"
"Wayne, TN","16,251","3.2%","$172,338","12.6%","75"
"Wayne, NC","118,686","-1.5%","$182,708","20.3%","58"
"Wayne, KY","19,592","8.9%","$169,826","30.4%","72"
"Wayne, WV","38,498","3.0%","$133,264","21.3%","52"
"Wayne, GA","30,519","4.1%","$200,628","19.6%","55"
"Wayne, IL","15,994","-1.2%","$134,710","16.4%","95"
"Piatt, IL","16,702","4.6%","$212,459","17.3%","30"
"Moultrie, IL","14,469","9.5%","$164,017","23.5%","42"
"Fayette, WV","39,987","3.5%","$126,641","14.6%","46"
"Fayette, TN","42,653","1.1%","$373,255","20.5%","65"
"Fayette, PA","123,915","-2.0%","$139,158","21.8%","67"
"Fayette, KY","320,154","4.6%","$322,069","18.1%","37"
"Fayette, OH","28,880","4.8%","$228,933","35.1%","44"
"Fayette, IN","23,390","8.1%","$157,004","32.6%","45"
"Fayette, AL","16,173","4.4%","$142,092","15.1%","63"
"Fayette, GA","123,351","0.8%","$499,763","26.9%","54"
"Fayette, IL","21,380","-0.5%","$155,202","28.5%","60"
"Peoria, IL","177,513","7.3%","$149,213","13.4%","37"
"Morgan, AL","125,133","2.4%","$231,135","27.5%","57"
"Morgan, OH","13,758","0.1%","$150,346","19.0%","63"
"Morgan, GA","20,614","0.5%","$441,433","24.1%","77"
"Morgan, WV","17,327","6.8%","$295,076","17.2%","38"
"Morgan, KY","13,938","2.1%","$143,223","38.7%","68"
"Morgan, TN","21,193","-0.6%","$196,844","29.0%","57"
"Morgan, IN","73,227","4.5%","$294,808","30.8%","42"
"Dickson, TN","55,197","1.9%","$360,160","23.9%","45"
"Lawrence, IL","15,137","4.5%","$96,439","30.7%","63"
"Lawrence, OH","57,385","5.1%","$132,034","21.0%","39"
"Lawrence, AL","33,182","4.1%","$224,699","23.5%","71"
"Lawrence, IN","45,077","1.5%","$198,746","27.3%","53"
"Lawrence, KY","16,171","9.2%","$169,814","15.3%","33"
"Lawrence, TN","44,901","3.1%","$235,999","26.5%","60"
"Hopkins, KY","45,143","6.4%","$158,566","30.7%","66"
"Crittenden, KY","8,972","6.2%","$124,785","0.0%","39"
"Ballard, KY","7,678","9.7%","$141,668","26.6%","36"
"Union, TN","20,141","2.2%","$280,059","22.2%","61"
"Union, NC","256,452","0.4%","$450,567","31.2%","40"
"Union, FL","15,551","1.7%","$264,225","20.0%","35"
"Union, OH","69,637","2.7%","$411,450","26.7%","37"
"Union, GA","25,598","4.1%","$394,670","28.8%","59"
"Union, MS","28,009","10.1%","$190,619","22.6%","82"
"Union, NJ","572,726","5.1%","$632,164","8.2%","26"
"Union, SC","26,990","1.1%","$111,048","28.2%","81"
"Union, IN","7,028","3.2%","$183,098","21.0%","41"
"Union, KY","13,379","10.4%","$132,508","0.0%","35"
"Union, IL","16,972","0.1%","$143,132","7.5%","49"
"Lauderdale, MS","70,527","2.3%","$120,045","13.9%","58"
"Lauderdale, AL","96,814","1.7%","$217,385","26.6%","54"
"Lauderdale, TN","24,933","-7.4%","$124,344","27.3%","49"
"Pemiscot, MO","15,232","4.8%","$90,789","0.0%","107"
"Cullman, AL","92,016","2.2%","$250,721","25.1%","63"
"Hale, AL","14,749","-2.0%","$164,768","8.0%","54"
"Lowndes, GA","120,712","3.5%","$220,218","18.1%","45"
"Lowndes, AL","10,008","0.1%","$148,935","25.0%","36"
"Lowndes, MS","58,187","5.7%","$183,754","23.9%","47"
"Scott, VA","21,504","2.4%","$163,071","28.5%","56"
"Scott, TN","21,969","2.9%","$171,672","32.6%","75"
"Scott, IN","24,468","3.2%","$199,152","37.6%","36"
"Scott, KY","58,269","4.2%","$320,131","8.8%","49"
"Scott, MO","37,967","3.0%","$148,195","14.2%","60"
"Scott, MS","27,754","1.4%","$107,834","14.2%","58"
"Lamar, GA","19,098","2.1%","$278,912","22.0%","65"
"Lamar, AL","13,809","0.1%","$131,584","23.5%","78"
"Lamar, MS","66,217","2.5%","$264,580","18.0%","65"
"Santa Rosa, FL","203,162","-1.4%","$352,056","28.4%","60"
"Hancock, KY","9,032","9.6%","$190,049","22.2%","31"
"Hancock, GA","8,630","0.9%","$209,842","11.9%","66"
"Hancock, WV","28,658","5.7%","$132,386","14.1%","47"
"Hancock, TN","6,790","0.0%","$149,342","7.4%","55"
"Hancock, IN","86,166","2.4%","$324,267","32.1%","38"
"Hancock, MS","46,057","-0.3%","$232,479","37.4%","72"
"Honolulu, HI","989,408","-0.4%","$858,601","17.0%","64"
"Kalawao, HI","43","-","-","-","-"
"Hawaii, HI","207,615","-0.0%","$574,007","18.7%","86"
"Maui, HI","164,244","0.0%","$1,063,379","17.3%","94"
"Mayagüez, PR","69,798","-","-","-","-"
"Maunabo, PR","10,482","-","-","-","-"
"Arroyo, PR","15,573","-","-","-","-"
